graph,ALTRB,KPLEX,kPlexS,DiseMKP,ALTRB/RR
G1,3.88,1154.76,187.41,53.08,18.42
G2,1337.82,3620,3620,3620,3620
G3,1419.54,3620,3620,3620,3620
G4,342.97,3620,3620,3620,3143.47
G5,0.14,0.29,1368.99,0.16,0.14
G6,24.27,3620,3620,3620,539.19
G7,425.81,3620,3620,3620,3620
G8,2.55,567.84,3620,27.01,18.38
G9,2.79,411.26,3620,3620,20.15
G10,213.36,3620,3620,1101.59,3382.18
G11,3.89,1766.68,3620,3620,23.14
G12,0.38,1.30,1.37,432.83,0.48
G13,54.23,3620,3620,3620,540.34
G14,907.67,3620,3620,3620,3620
G15,20.56,3620,3620,3620,124.03
G16,1.80,58.82,1645.40,884.53,2.33
G17,1.81,3022.10,3620,3620,8.30
G18,0.88,2804.46,1108.62,3620,6.78
G19,0.77,3.59,1.95,1663.41,0.78
G20,4.62,795.20,74.41,1325.30,4.40
G21,3.01,961.06,3620,3620,8.01
G22,2.32,13.58,11.46,17.67,2.35
G23,12.98,136.61,11.87,3620,12.73
G24,5.57,2979.37,3620,3620,15.74
G25,3.37,92.05,3620,3620,3.42
G26,4.50,700.66,38.28,7.80,4.52
G27,2.65,14.52,15.03,47.94,2.54
G28,130.22,3620,1742.62,3620,134.41
G29,5.86,312.93,3620,3620,16.81
G30,586.78,3620,3620,3620,3620
