graph,ALTRB,KPLEX,kPlexS,DiseMKP,ALTRB/RR
G1,0.00,0.00,0.00,0.00,0.00
G2,0.00,0.00,0.00,0.00,0.00
G3,3620,3620,3620,3620,3620
G4,3620,3620,3620,3620,3620
G5,3620,3620,3620,3620,3620
G6,3620,3620,3620,3620,3620
G7,3620,3620,3620,3620,3620
G8,3620,3620,3620,3620,3620
G9,3620,3620,3620,3620,3620
G10,3620,3620,3620,3620,3620
G11,3620,3620,3620,3620,3620
G12,0.38,1.08,1.00,3620,0.38
G13,3620,3620,3620,3620,3620
G14,3620,3620,3620,3620,3620
G15,3620,3620,3620,3620,3620
G16,57.75,311.28,2451.53,3620,81.52
G17,404.59,41.72,1815.00,3620,1006.76
G18,0.25,0.83,0.77,3620,0.19
G19,0.53,4.50,4.86,3620,0.42
G20,644.18,1398.04,54.30,3620,1039.26
G21,3620,3620,3620,3620,3620
G22,1.77,7.64,8.94,3620,1.69
G23,12.77,130.41,24.25,3620,12.24
G24,3620,3620,3620,3620,3620
G25,68.70,334.13,3620,3620,136.59
G26,1.03,3.80,3.75,2.50,0.92
G27,2.11,11.52,11.05,3620,2.09
G28,3620,3620,3620,3620,3620
G29,2.35,2.99,3.31,9.83,2.18
G30,3620,3620,3620,3620,3620
